id,prediction
n0004f564dbcb922,0.6653446555137634
n000595032773674,0.5180968642234802
n000c690d171fa5d,0.42905402183532715
n0021ca28009c129,0.1443045288324356
n002322802988400,0.3407074809074402
n0028c7355bec7a2,0.2786586284637451
n002e64e5158b043,0.5484680533409119
n005484bed75be0b,0.4085044860839844
n00574c8d26fd39c,0.3743835687637329
n006e71215079d55,0.2122018039226532
n00900013d701b1a,0.27209755778312683
n00955720fad77f3,0.7869322299957275
n00b0cfa0443fabc,0.5190103650093079
n00d47af608a0b56,0.4959004819393158
n00dc9a30af22834,0.240643709897995
n00e2374eaa94d3c,0.5173220038414001
n00e6a3243f8d0ce,0.3233069181442261
n00e95ef0d5b2c60,0.21623960137367249
n00ecc682e09fe74,0.6423757672309875
n00fc17b26f0757a,0.1623196303844452
n01038738f0aef5d,0.4801942706108093
n010a042429d6d93,0.4304848611354828
n01141b06094f74f,0.5137355327606201
n011dfc93f37da5d,0.4944520890712738
n012a4054d71618a,0.3698148727416992
n01305fad288a7e2,0.26469501852989197
n01760f49b85f4d2,0.375026136636734
n017ef8a129d4d37,0.3576864004135132
n01915e6912870bc,0.4688932001590729
n0192c3090210368,0.4460499882698059
n01aa224aa564d75,0.5492855310440063
n01bd440054885de,0.12239491939544678
n01d8ace478795c4,0.4900788962841034
n01e705ce73be836,0.555550217628479
n01efe892b0fb68e,0.47576358914375305
n01fce9d4b39d33b,0.4206083416938782
n01fd0709a0623f6,0.42450469732284546
n0214c9669d3a8ef,0.530387282371521
n02178b5113b75b9,0.4959028363227844
n022e94423623008,0.4725714921951294
n022f6521686927a,0.29353055357933044
n023374982218655,0.45873358845710754
n0240e493d9e5ea7,0.3555733561515808
n024cb519b82ccb3,0.5170100331306458
n0258b532fc77b62,0.3909165859222412
n0279ca40e327e2b,0.6459019780158997
n02845f2e75f4048,0.3745228350162506
n0287778c9a5bad8,0.3636528551578522
n028af21ccd2013e,0.5445328950881958
n02a20a75c9d09fa,0.5918309092521667
n02a364ab8674108,0.5903698801994324
n02a3e789668d5ee,0.3882203996181488
n02a45095ce5b6cc,0.5811681747436523
